Item Name,Category,Unit,Min Stock,Rate
DP4 Bush,Bought Out Items,Nos.,,
Dowell Pin - S26-88,Bought Out Items,Nos.,,
Sleeve Wear 3076346,Bought Out Items,Nos.,,
Sleeve Wear 3003239,Bought Out Items,Nos.,,
Sleeve Wear 203097,Bought Out Items,Nos.,,
Sleeve Wear 190397,Bought Out Items,Nos.,,
Sleeve Wear 107583,Bought Out Items,Nos.,,
Cleaning Media - CL002,Consumables,Ltr.,,
Rust Preventive Oil - 135 A EX,Consumables,Ltr.,,
Balmerol Multi Purpose Grease 1Kg,Consumables,Ltr.,,
Zic Gear 460,Consumables,Ltr.,,
Power Hydgear 320,Consumables,Ltr.,,
Soluble Cutting oil- Supreme Plus,Consumables,Ltr.,,
Tapping oil,Consumables,Ltr.,,
Machine Oil 40no.,Consumables,Ltr.,,
Hydraulic oil VG 68No.,Consumables,Ltr.,,
SC Drill Ø3.175x48x80xSH4,Cutting Tools,Nos.,,
SC Drill Ø14.50x40x80xSH15,Cutting Tools,Nos.,,
SC Ball Nose End Mill Ø 3.0x8FLXx50OALxSH4,Cutting Tools,Nos.,,
SC Endmill Dia 2.00x30DEGx60xSH10,Cutting Tools,Nos.,,
SC Reamer Dia. 18.265x40x80x16SH,Cutting Tools,Nos.,,
Chamfer Combination Boring Bar Ø 25.7/32.5,Cutting Tools,Nos.,,
FORM TOOL Ø 17.5x20x30x18SH,Cutting Tools,Nos.,,
Lug Tool Ø 10x20x130x10SH,Cutting Tools,Nos.,,
S/C Ch.Tool Ø 18x15DEGx30x70xSH16,Cutting Tools,Nos.,,
S/C Ch.Tool Ø 20x30DEGx30x70,Cutting Tools,Nos.,,
Spot Ch.Tool Ø 4x15x9x60,Cutting Tools,Nos.,,
S/C Ch.Tool Ø 5.5x30DEGx40x80x6SH,Cutting Tools,Nos.,,
S/C Reamer Ø 4.975x30x60x5SH,Cutting Tools,Nos.,,
S/C Reamer Ø 16.007x25x60x16SH,Cutting Tools,Nos.,,
S/C Reamer Ø 16x25x60x16SH,Cutting Tools,Nos.,,
S/C Reamer Ø 18.865x25x60x19SH,Cutting Tools,Nos.,,
S/C Reamer Ø 18.860x25x60x19SH,Cutting Tools,Nos.,,
S/C Reamer Ø 5.074x20x60x5SH,Cutting Tools,Nos.,,
S/C Reamer Ø 5.065x20x60x5SH,Cutting Tools,Nos.,,
S/C Reamer Ø 8.93x50x90x9SH,Cutting Tools,Nos.,,
S/C Reamer Ø 6.93x40x90x7SH,Cutting Tools,Nos.,,
S/C Endmill Ø 20x17x60x20SH,Cutting Tools,Nos.,,
S/C Endmill Ø 20.5x40x80x21SH,Cutting Tools,Nos.,,
S/C Endmill Ø 8.12x20x130x8SH,Cutting Tools,Nos.,,
S/C Endmill Ø 4.8x30x60x6SH,Cutting Tools,Nos.,,
SC End Mill Ø 15.7x40x80xSH16,Cutting Tools,Nos.,,
S/C Drill Ø 13.2x50x100x14SH,Cutting Tools,Nos.,,
S/C Drill Ø 11.15x40x80x12SH,Cutting Tools,Nos.,,
S/C Drill Ø 10.6x50x100x11SH,Cutting Tools,Nos.,,
S/C Drill Ø 8.8x50x80x9SH,Cutting Tools,Nos.,,
S/C Drill Ø 8.5x40x80x9SH,Cutting Tools,Nos.,,
S/C Drill Ø 16.5x40x80x17SH,Cutting Tools,Nos.,,
S/C Drill Ø 14.3x25x60x15SH,Cutting Tools,Nos.,,
S/C Drill Ø 3.0 x 35FL x 70 OAL x SH5,Cutting Tools,Nos.,,
S/C Drill Ø 3.0 x 35FL x 70 OAL X SH3,Cutting Tools,Nos.,,
SC Drill Ø 4.5x35x70xSH5,Cutting Tools,Nos.,,
SC Drill Ø 5.5x25x60xSH6,Cutting Tools,Nos.,,
SC Drill Ø 6.6x25x60xSH7,Cutting Tools,Nos.,,
SC Drill Ø 6.8x40x90xSH7,Cutting Tools,Nos.,,
SC Drill Ø 10.7x40x80xSH11,Cutting Tools,Nos.,,
SC Drill Ø 14x50x80xSH14,Cutting Tools,Nos.,,
SC Drill Ø 17.5x40x80xSH18,Cutting Tools,Nos.,,
VCMT 160404 EN-29 CTPX710,Cutting Tools,Nos.,,
VCGT 160404 FN-27 CTPX710,Cutting Tools,Nos.,,
VCGT 160404 FN-25P CTPX710,Cutting Tools,Nos.,,
VCMT 110304 EN-SMF CTCP115,Cutting Tools,Nos.,,
CCMT 060204 EN-29 AMZ,Cutting Tools,Nos.,,
GX16-2S1.70R CTP1340,Cutting Tools,Nos.,,
GX16-2S1.70L CTP1340,Cutting Tools,Nos.,,
SCMT 09T308 EN-SM CTIP2240,Cutting Tools,Nos.,,
LNHX 1106 PNER - R50 CTPK220,Cutting Tools,Nos.,,
OAKU 060508SR-R50 CTCK215,Cutting Tools,Nos.,,
SNMG 120412 EN TMR CTICK110,Cutting Tools,Nos.,,
SNMG 120408 EN TMR CTICK110,Cutting Tools,Nos.,,
SDNT 09T308 SR-33 CTPM240,Cutting Tools,Nos.,,
CCGT 060202 EN SF CTICP135,Cutting Tools,Nos.,,
VCMT 160404 EN-29 AMZ,Cutting Tools,Nos.,,
VCMT 160404 EN -SMF CTICP125,Cutting Tools,Nos.,,
GX16-1E2.00N0.20-M40 CTP1340,Cutting Tools,Nos.,,
GX16-2E3.00N0.30-M40 CTP1340,Cutting Tools,Nos.,,
TNMG 160408 EN F30 CTPM125,Cutting Tools,Nos.,,
TNMG 160404 EN F30 CTPM125,Cutting Tools,Nos.,,
TCMT 110204 EN-SMF TCM 10,Cutting Tools,Nos.,,
SDNT 09T308 SR-31 CTCK215,Cutting Tools,Nos.,,
GX24-3R2.00N-M3 CTCP335,Cutting Tools,Nos.,,
TPAN 1603 PPN H216T,Cutting Tools,Nos.,,
VNMG 12T304 EN-TMF CTICP125,Cutting Tools,Nos.,,
VCMT 160404 EN SMF-CTIW3115,Cutting Tools,Nos.,,
TNMG 160412 - HS PC 5300,Cutting Tools,Nos.,,
TNMG 160404 - NEG AC 6040,Cutting Tools,Nos.,,
TNMG 160408 - NEG AC 6040,Cutting Tools,Nos.,,
CCMT 09T308 - AC 6040,Cutting Tools,Nos.,,
TNMG 160408 - MACTM9125,Cutting Tools,Nos.,,
TNMG 160412 - MACTM9125,Cutting Tools,Nos.,,
TNMG 160402 MS KC5010,Cutting Tools,Nos.,,
A4G0305M03U04GMNKC5025 (Grooving Insert),Cutting Tools,Nos.,,
TPAN 1603PPN THM (Milling Insert),Cutting Tools,Nos.,,
V-D-MT D374/C M12x1.5 6HX,Cutting Tools,Nos.,,
MDHX1004ZDFRGD4W K110M,Cutting Tools,Nos.,,
SEKN 1203AFN PA120,Cutting Tools,Nos.,,
TNMG 160404 22 PA120,Cutting Tools,Nos.,,
44415820 THM,Cutting Tools,Nos.,,
WMT S505M5U03PT WP10CT,Cutting Tools,Nos.,,
WMTS 305M3U03PT WP10CT,Cutting Tools,Nos.,,
WMTR 405M4UPC WU10PT,Cutting Tools,Nos.,,
VNMG 12T308 WS25PT,Cutting Tools,Nos.,,
VNMG 12T308 TN2000,Cutting Tools,Nos.,,
VNMG 12T304 TN4000,Cutting Tools,Nos.,,
TNMG 160408 TN2000,Cutting Tools,Nos.,,
TNMG160412TN2000,Cutting Tools,Nos.,,
TNMG 160404 TN2000,Cutting Tools,Nos.,,
TNMA 160412 WK20CT,Cutting Tools,Nos.,,
TNMA 160408 WK20CT,Cutting Tools,Nos.,,
TCMT 110204 THM,Cutting Tools,Nos.,,
SPKN 1203EDR PA120,Cutting Tools,Nos.,,
SPKN 1203EDL PA120,Cutting Tools,Nos.,,
HST 1/8 NPT BOT,Cutting Tools,Nos.,,
CCMT 060204 TN4000,Cutting Tools,Nos.,,
44415822 THM,Cutting Tools,Nos.,,
313868 Body,Finished Goods,Nos.,,
Wear Sleeve 107583,Finished Goods,Nos.,,
Tube 5050195,Finished Goods,Nos.,,
TM 1046RR41 INERTIA RING,Finished Goods,Nos.,,
TM 1046RH41 HUB,Finished Goods,Nos.,,
Support 4947521 Alternator,Finished Goods,Nos.,,
Support 4080803 Alternator,Finished Goods,Nos.,,
Support 3357102 Air Compressor,Finished Goods,Nos.,,
Sieve Ring 5002798,Finished Goods,Nos.,,
Sieve Bottom 5002797,Finished Goods,Nos.,,
Shaft Sleeve 149.00282501,Finished Goods,Nos.,,
Shaft 5410465,Finished Goods,Nos.,,
Shaft 5410344,Finished Goods,Nos.,,
Ring 5014098,Finished Goods,Nos.,,
Pulley S 20765,Finished Goods,Nos.,,
Pulley Crankshaft (TCL),Finished Goods,Nos.,,
Pulley AR-7746(Line No.-49),Finished Goods,Nos.,,
Pulley 707407,Finished Goods,Nos.,,
Pulley 6525763,Finished Goods,Nos.,,
Pulley 6507104,Finished Goods,Nos.,,
Pulley 6490936,Finished Goods,Nos.,,
Pulley 6490869,Finished Goods,Nos.,,
Pulley 5694820,Finished Goods,Nos.,,
Pulley 5694700,Finished Goods,Nos.,,
Pulley 5416488,Finished Goods,Nos.,,
Pulley 5409044,Finished Goods,Nos.,,
Pulley 5326-17,Finished Goods,Nos.,,
Pulley 501253,Finished Goods,Nos.,,
Pulley 4986869,Finished Goods,Nos.,,
Pulley 4971758(Line No.-71),Finished Goods,Nos.,,
Pulley 4968265(Line No.-70),Finished Goods,Nos.,,
Pulley 4913347,Finished Goods,Nos.,,
Pulley 4913321(Line No.-63),Finished Goods,Nos.,,
Pulley 4913284,Finished Goods,Nos.,,
Pulley 4398157,Finished Goods,Nos.,,
Pulley 4105011 - Line No.45,Finished Goods,Nos.,,
Pulley 4020455,Finished Goods,Nos.,,
Pulley 3935363,Finished Goods,Nos.,,
Pulley 3929269,Finished Goods,Nos.,,
Pulley 3878610,Finished Goods,Nos.,,
Pulley 3875916  R,Finished Goods,Nos.,,
Pulley 3875306,Finished Goods,Nos.,,
Pulley 3814121,Finished Goods,Nos.,,
Pulley 3633548,Finished Goods,Nos.,,
Pulley 3246831(Line No.-12),Finished Goods,Nos.,,
Pulley 3246660,Finished Goods,Nos.,,
Pulley 3239245,Finished Goods,Nos.,,
Pulley 3236680,Finished Goods,Nos.,,
Pulley 3236662,Finished Goods,Nos.,,
Pulley 3227760,Finished Goods,Nos.,,
Pulley 3227759,Finished Goods,Nos.,,
Pulley 3179944(Line No.-31),Finished Goods,Nos.,,
Pulley 3179943,Finished Goods,Nos.,,
Pulley 3179922(Line No.-30),Finished Goods,Nos.,,
Pulley 3167524,Finished Goods,Nos.,,
Pulley 3166495,Finished Goods,Nos.,,
Pulley 3129 - 17,Finished Goods,Nos.,,
Pulley 3095222,Finished Goods,Nos.,,
Pulley 3095220,Finished Goods,Nos.,,
Pulley 3095218,Finished Goods,Nos.,,
Pulley 3084031(Line No.-28),Finished Goods,Nos.,,
Pulley 3072355,Finished Goods,Nos.,,
Pulley 3069778(Line No.-09),Finished Goods,Nos.,,
Pulley 3067997,Finished Goods,Nos.,,
Pulley 3064201,Finished Goods,Nos.,,
Pulley 3033628(Line No.-69),Finished Goods,Nos.,,
Pulley 3031737(Line No.-08),Finished Goods,Nos.,,
Pulley 3025861,Finished Goods,Nos.,,
Pulley 3015527,Finished Goods,Nos.,,
Pulley 3015113(Line No.-08),Finished Goods,Nos.,,
Pulley 3013336(Line No.-56),Finished Goods,Nos.,,
Pulley 3011633,Finished Goods,Nos.,,
Pulley 3005507,Finished Goods,Nos.,,
Pulley 3005506,Finished Goods,Nos.,,
Pulley 3002183,Finished Goods,Nos.,,
Pulley 3002175(Line No.-68),Finished Goods,Nos.,,
Pulley 2868544,Finished Goods,Nos.,,
Pulley 2867709,Finished Goods,Nos.,,
Pulley 2865481,Finished Goods,Nos.,,
Pulley 2865200,Finished Goods,Nos.,,
Pulley 218532(Line No.-13,Finished Goods,Nos.,,
Pulley 215397,Finished Goods,Nos.,,
Pulley 213351(Line No.-17),Finished Goods,Nos.,,
Pulley 209939(Line No.-19),Finished Goods,Nos.,,
Pulley 209910,Finished Goods,Nos.,,
Pulley 209808,Finished Goods,Nos.,,
Pulley - 4348351,Finished Goods,Nos.,,
Pulley - 4348350,Finished Goods,Nos.,,
Pulley  4344341,Finished Goods,Nos.,,
Pulley - 4097117,Finished Goods,Nos.,,
Pulley - 3093179,Finished Goods,Nos.,,
Oil Pump Cover 5326-22T,Finished Goods,Nos.,,
Oil Pump Cover 4342-04 MD,Finished Goods,Nos.,,
Oil Pump Cover- 4338-22T,Finished Goods,Nos.,,
Oil Pump Cover- 2718-22T,Finished Goods,Nos.,,
"Impeller Assembly- 5057-15 , 95mm for Vista",Finished Goods,Nos.,,
Impeller 4328 - 15 High Flow,Finished Goods,Nos.,,
Flushing Canal Shaft 5300087,Finished Goods,Nos.,,
FG3003696 Pulley Crankshaft,Finished Goods,Nos.,,
Element Pick-Up Top 5210543,Finished Goods,Nos.,,
Driver 149.00289401,Finished Goods,Nos.,,
Cover Sub Assembly- 2550-04T,Finished Goods,Nos.,,
Cover Machined 2519-22T,Finished Goods,Nos.,,
Cover 4994-22T,Finished Goods,Nos.,,
Connection 5716467 Exhaust Outlet,Finished Goods,Nos.,,
Cone 149.00289701,Finished Goods,Nos.,,
Cone 149.00168502,Finished Goods,Nos.,,
Cartrage 308052,Finished Goods,Nos.,,
Cartrage 308051,Finished Goods,Nos.,,
Cartrage 308050,Finished Goods,Nos.,,
Cartrage 308049,Finished Goods,Nos.,,
Cartrage 308048,Finished Goods,Nos.,,
Candle Head Piece 5018104,Finished Goods,Nos.,,
Candle Head Piece 5018102,Finished Goods,Nos.,,
Candle Head Piece 5018100,Finished Goods,Nos.,,
Candle Head Piece 5018096,Finished Goods,Nos.,,
Candle Head Piece 5018094,Finished Goods,Nos.,,
Candle Endpiece 5012986,Finished Goods,Nos.,,
Candle Endpiece 5011862,Finished Goods,Nos.,,
Candle End Piece 5018105,Finished Goods,Nos.,,
Candle End Piece 5018103,Finished Goods,Nos.,,
Candle End Piece 5018101,Finished Goods,Nos.,,
Candle End Piece 5018099,Finished Goods,Nos.,,
Candle End Piece 5018098,Finished Goods,Nos.,,
Candle End Piece 5018097,Finished Goods,Nos.,,
Candle End Piece 5018095,Finished Goods,Nos.,,
Candle End Piece 5018093,Finished Goods,Nos.,,
Candle End Piece 5018092,Finished Goods,Nos.,,
Candle End Piece 5018091,Finished Goods,Nos.,,
Body 303176,Finished Goods,Nos.,,
5377-22 OP Cover Machined,Finished Goods,Nos.,,
5377-20 OP Housing Machined JD,Finished Goods,Nos.,,
5376-22 OP Cover Machined,Finished Goods,Nos.,,
5376-20 OP Housing Machined JD,Finished Goods,Nos.,,
5340-22 OP COVER,Finished Goods,Nos.,,
5339-22 OP COVER,Finished Goods,Nos.,,
4844-22 Cover Machined Part,Finished Goods,Nos.,,
4844-20 Body Machined Part,Finished Goods,Nos.,,
4374-04T Oil Pump Cover T4,Finished Goods,Nos.,,
4085859 FG (501253),Finished Goods,Nos.,,
3231152  - Pulley,Finished Goods,Nos.,,
319673  Bonnet Plate,Finished Goods,Nos.,,
319206 Port Plate W/o NPT Plug,Finished Goods,Nos.,,
319120 - Port Plate PA4CS,Finished Goods,Nos.,,
313956 - PORT PLATE -FG,Finished Goods,Nos.,,
313954 - Port Plate Single Port CF3,Finished Goods,Nos.,,
313940 - Port Plate PA4CS,Finished Goods,Nos.,,
313915 RSD Bonnet,Finished Goods,Nos.,,
313865 Body,Finished Goods,Nos.,,
313861 - RSD BONNET,Finished Goods,Nos.,,
313854 - RSD PORT PLATE,Finished Goods,Nos.,,
3067999 - Pulley,Finished Goods,Nos.,,
303180 Body,Finished Goods,Nos.,,
2868126 FG - Spacer,Finished Goods,Nos.,,
2550-04 Cover Sub Assembly,Finished Goods,Nos.,,
